iter	RMSE
0	3.772320413
1	3.719257043
2	3.655984409
3	3.596582601
4	3.537891231
5	3.482674421
6	3.426989336
7	3.375491157
8	3.319604318
9	3.278605678
10	3.228052208
11	3.180874776
12	3.137461476
13	3.095711362
14	3.05392412
15	3.010829714
16	2.964416111
17	2.924816081
18	2.88588
19	2.847048565
20	2.813394811
21	2.780367769
22	2.744292987
23	2.707810285
24	2.673237641
25	2.644631698
26	2.6163486
27	2.577662822
28	2.547244818
29	2.518263303
30	2.486171494
31	2.459459542
32	2.433781992
33	2.406763829
34	2.386126506
35	2.358370345
36	2.333926187
37	2.307980872
38	2.288144768
39	2.266724626
40	2.242778928
41	2.221246631
42	2.198908193
43	2.179509799
44	2.16427727
45	2.147766186
46	2.125934781
47	2.10823409
48	2.092732464
49	2.075173122
50	2.057004407
51	2.040308904
52	2.019836768
53	2.005067057
54	1.991131081
55	1.974438501
56	1.964609293
57	1.949475611
58	1.938646101
59	1.924581743
60	1.912824102
61	1.900499439
62	1.887471962
63	1.872330748
64	1.857553606
65	1.847375335
66	1.835501553
67	1.817058861
68	1.803668798
69	1.792797852
70	1.782686988
71	1.774367267
72	1.765001065
73	1.757039826
74	1.748940822
75	1.737909345
76	1.727671154
77	1.717834712
78	1.705586382
79	1.694650455
80	1.6817747
81	1.671703439
82	1.662741138
83	1.657596631
84	1.648721187
85	1.64235154
86	1.63222921
87	1.625038305
88	1.617897329
89	1.611283193
90	1.604536469
91	1.597175031
92	1.590149282
93	1.581608723
94	1.572155541
95	1.564343618
96	1.553332142
97	1.544477772
98	1.539453981
99	1.532808064
100	1.524476174
101	1.519800585
102	1.511231534
103	1.503089264
104	1.497967091
105	1.494149274
106	1.484384832
107	1.47493611
108	1.470524552
109	1.464170273
110	1.460501304
111	1.455577085
112	1.450670237
113	1.44567213
114	1.441523663
115	1.43698589
116	1.431389705
117	1.427366508
118	1.418448033
119	1.415837192
120	1.412132512
121	1.40777677
122	1.407344915
123	1.404382266
124	1.400153083
125	1.395839874
126	1.391555172
127	1.385007695
128	1.380588897
129	1.373159137
130	1.368491692
131	1.362400415
132	1.35859756
133	1.354395936
134	1.3521881
135	1.35002054
136	1.345908707
137	1.341826698
138	1.33778764
139	1.334705879
140	1.328410993
141	1.326238144
142	1.319693308
143	1.318970297
144	1.315326555
145	1.312222103
146	1.309516518
147	1.3073587
148	1.304959481
149	1.303183778
150	1.299812504
151	1.296087468
152	1.290218456
153	1.286974803
154	1.282401661
155	1.279573578
156	1.275797664
157	1.272595567
158	1.27063644
159	1.267941114
160	1.264251875
161	1.263015044
162	1.261111072
163	1.258083213
164	1.253511816
165	1.251113965
166	1.248516555
167	1.245813904
168	1.243777412
169	1.239644594
170	1.235233202
171	1.233099785
172	1.226901957
173	1.223671098
174	1.218510227
175	1.215990049
176	1.214780559
177	1.209985288
178	1.206957464
179	1.204107453
180	1.201547377
181	1.199536805
182	1.192496401
183	1.187806346
184	1.186250573
185	1.184108596
186	1.18143717
187	1.17874453
188	1.177055949
189	1.175172602
190	1.171087872
191	1.169064634
192	1.167300625
193	1.165637826
194	1.164428456
195	1.160932032
196	1.156898639
197	1.153635557
198	1.15201978
199	1.147128901
200	1.146171221
201	1.144822534
202	1.141885997
203	1.141121021
204	1.139352578
205	1.136809785
206	1.133856214
207	1.13080676
208	1.126391177
209	1.124658986
210	1.123549468
211	1.122863567
212	1.120280326
213	1.118221337
214	1.116538002
215	1.11512873
216	1.113668298
217	1.11154556
218	1.109605621
219	1.107774971
220	1.105651175
221	1.103946749
222	1.099678601
223	1.0958443
224	1.094798598
225	1.094184439
226	1.093389341
227	1.091992488
228	1.090638225
229	1.087853908
230	1.085658414
231	1.083439222
232	1.08136974
233	1.080573643
234	1.079294445
235	1.078426028
236	1.077461664
237	1.074801478
238	1.072651113
239	1.071415311
240	1.070754596
241	1.069228599
242	1.066028399
243	1.065002909
244	1.063420358
245	1.060643448
246	1.059943176
247	1.059141976
248	1.056400778
249	1.054984814
250	1.051730607
251	1.049733805
252	1.047215021
253	1.046566518
254	1.04444515
255	1.043583678
256	1.042016952
257	1.041298096
258	1.038901998
259	1.037124377
260	1.036283337
261	1.035504453
262	1.034830915
263	1.033668825
264	1.03131957
265	1.03077443
266	1.030045788
267	1.028358585
268	1.027653593
269	1.02693386
270	1.025492796
271	1.023707569
272	1.021989245
273	1.019503473
274	1.01881327
275	1.017907627
276	1.016748522
277	1.016223126
278	1.014095727
279	1.013459067
280	1.012316016
281	1.011714136
282	1.01026843
283	1.009793309
284	1.007780958
285	1.006237949
286	1.003158537
287	1.000706058
288	1.000085701
289	0.9972526605
290	0.9968390592
291	0.9963475089
292	0.9957570093
293	0.9951488666
294	0.9939795253
295	0.9902934497
296	0.9896734755
297	0.9893346638
298	0.9865011681
299	0.9852104548
300	0.9835661929
301	0.9829711205
302	0.9823736308
303	0.9818882913
304	0.9815340177
305	0.9809774265
306	0.9804915823
307	0.9788959032
308	0.9774468608
309	0.9768895057
310	0.9765934021
311	0.972002776
312	0.9693883746
313	0.9680975982
314	0.9662879044
315	0.9645352432
316	0.9591136317
317	0.9581379264
318	0.957619858
319	0.9571708911
320	0.956667911
321	0.9534211427
322	0.9531435603
323	0.9522160545
324	0.9519465181
325	0.951400811
326	0.9508282514
327	0.9492534793
328	0.9489892325
329	0.9485092282
330	0.9477812436
331	0.9470629847
332	0.946144978
333	0.9452241487
334	0.9395305409
335	0.9383143876
336	0.9366678644
337	0.9357760665
338	0.9330276427
339	0.9307973972
340	0.9299269156
341	0.9283447176
342	0.9281155449
343	0.9274659294
344	0.9248804699
345	0.924499613
346	0.9201444555
347	0.9185622945
348	0.9173016017
349	0.9170808476
350	0.9156795301
351	0.9154548286
352	0.9143114696
353	0.9124849847
354	0.9118545993
355	0.909848067
356	0.9096143926
357	0.9086762464
358	0.9080007251
359	0.9055488483
360	0.9002470199
361	0.8997743509
362	0.8985072411
363	0.8981352869
364	0.8967741439
365	0.8965642173
366	0.8946837645
367	0.89334398
368	0.8917098135
369	0.8905886455
370	0.8901284864
371	0.8885055686
372	0.8865526329
373	0.8853881041
374	0.8814717217
375	0.8802969153
376	0.8792384984
377	0.8788150379
378	0.8772069682
379	0.876345275
380	0.8715686048
381	0.867622711
382	0.865381601
383	0.8636945765
384	0.8598931429
385	0.8551572137
386	0.8514485871
387	0.8478169264
388	0.843961209
389	0.8405841852
390	0.8393663685
391	0.8381157228
392	0.8379149469
393	0.8343367293
394	0.8339579705
395	0.8324234407
396	0.8287718251
397	0.8254028851
398	0.8244884554
399	0.8213567597
400	0.8198745405
401	0.8195486278
402	0.8182450859
403	0.8169025519
404	0.8155939643
405	0.8144546388
406	0.8104464519
407	0.8089427602
408	0.8074681864
409	0.8040576153
410	0.8029750862
411	0.8026842441
412	0.8016321391
413	0.8011474681
414	0.7971661852
415	0.7939416391
416	0.7925036763
417	0.7914697993
418	0.7912310431
419	0.790777178
420	0.7882472784
421	0.7851462573
422	0.7815925933
423	0.7801912696
424	0.7770878578
425	0.7757770111
426	0.7744374843
427	0.7736318438
428	0.7723219934
429	0.7713395635
430	0.7700534829
431	0.7671413319
432	0.7656901314
433	0.7644312429
434	0.7615175588
435	0.7594218778
436	0.7591789094
437	0.7583216205
438	0.7571139932
439	0.7569501913
440	0.7537812316
441	0.7518810155
442	0.7488076508
443	0.7485215903
444	0.7475403998
445	0.7473446017
446	0.7450362658
447	0.7430285046
448	0.7421289539
449	0.7409197598
450	0.7382123112
451	0.7372663374
452	0.7348744254
453	0.7345626472
454	0.7335914946
455	0.7315609381
456	0.7301953452
457	0.7274834579
458	0.7258543505
459	0.7251484235
460	0.7216338039
461	0.718841557
462	0.716293471
463	0.715367878
464	0.714962622
465	0.712446286
466	0.7122314586
467	0.7115112782
468	0.7103263931
469	0.7101780732
470	0.7090558605
471	0.7063180272
472	0.7045122791
473	0.7020857172
474	0.6998575918
475	0.699712754
476	0.6985113136
477	0.6978310488
478	0.6968992998
479	0.6960247524
480	0.6958848413
481	0.6951242541
482	0.6931179623
483	0.6916929795
484	0.6915561583
485	0.6904360581
486	0.6886180376
487	0.6882500259
488	0.6859957178
489	0.6838174318
490	0.6830332889
491	0.6798444226
492	0.6792234812
493	0.6771753099
494	0.6756220888
495	0.6734195722
496	0.6731967894
497	0.6720422667
498	0.6718832492
499	0.6700108832
500	0.6688944076
501	0.6686264568
502	0.6685045356
503	0.6682402384
504	0.6659445318
505	0.6639784614
506	0.6618535074
507	0.6608978118
508	0.6588737672
509	0.6587208581
510	0.6568855128
511	0.6567638922
512	0.655405409
513	0.6540190757
514	0.6539234715
515	0.6522153572
516	0.6511525614
517	0.6503072621
518	0.6501071116
519	0.6490389919
520	0.6479351064
521	0.6449027043
522	0.6447758403
523	0.6438250811
524	0.6421341825
525	0.6404821605
526	0.6396945018
527	0.6366054838
528	0.636359193
529	0.6335416173
530	0.6325669805
531	0.6319956245
532	0.6318898335
533	0.6316685857
534	0.6308611696
535	0.630194105
536	0.6291079514
537	0.6275598332
538	0.6268086992
539	0.625855026
540	0.6257504454
541	0.6241631125
542	0.6236356281
543	0.6212192942
544	0.620591396
545	0.6203713645
546	0.6202790821
547	0.6195077059
548	0.6178734939
549	0.6168128878
550	0.615776082
551	0.6156559112
552	0.6154270285
553	0.6138697551
554	0.6129229096
555	0.6118753263
556	0.6117584634
557	0.6103373572
558	0.6086967474
559	0.6085700572
560	0.6059245819
561	0.6053256954
562	0.6036453368
563	0.6027191589
564	0.6010663278
565	0.6003267949
566	0.5984381812
567	0.5970693345
568	0.5966366798
569	0.5948377515
570	0.5926420211
571	0.5907021385
572	0.5897523928
573	0.58841927
574	0.5875837619
575	0.5860354869
576	0.5842605912
577	0.5833506981
578	0.5832258144
579	0.5815760523
580	0.5808360454
581	0.5792460705
582	0.5784769814
583	0.5783456709
584	0.5769323928
585	0.5764499223
586	0.5749908931
587	0.5743032636
588	0.5728738335
589	0.5717088103
590	0.5701688318
591	0.5689659916
592	0.5683055492
593	0.5677026422
594	0.5672144648
595	0.5658534587
596	0.5646933086
597	0.5646089505
598	0.5644465143
599	0.5642337642
600	0.5637442412
601	0.5630869528
602	0.5618340592
603	0.5617229936
604	0.5600408632
605	0.5586969024
606	0.5582573251
607	0.5570947072
608	0.5569951428
609	0.5559216708
610	0.5548877143
611	0.5540360009
612	0.553170347
613	0.5521279769
614	0.5509876255
615	0.5504158528
616	0.550321269
617	0.5502468983
618	0.5501744766
619	0.5495979723
620	0.5480453194
621	0.5473166731
622	0.547243782
623	0.5471403551
624	0.5460923978
625	0.5454028933
626	0.5445968893
627	0.5435283909
628	0.5434274807
629	0.5431706796
630	0.5430313323
631	0.5421229574
632	0.5420361678
633	0.5414098913
634	0.5413120145
635	0.5412336097
636	0.5405473497
637	0.5388816736
