iter	Passed	Remaining
0	48	48901
1	50	24982
2	51	17042
3	52	13116
4	53	10723
5	55	9151
6	56	8040
7	59	7347
8	61	6754
9	63	6247
10	64	5833
11	66	5471
12	67	5128
13	68	4836
14	69	4588
15	72	4451
16	73	4257
17	75	4101
18	75	3920
19	76	3764
20	77	3622
21	78	3485
22	79	3372
23	80	3272
24	81	3171
25	82	3080
26	83	2995
27	84	2933
28	85	2879
29	87	2814
30	87	2746
31	88	2686
32	89	2633
33	90	2584
34	91	2529
35	93	2492
36	93	2445
37	94	2402
38	95	2361
39	96	2322
40	97	2285
41	99	2270
42	101	2247
43	102	2216
44	102	2180
45	103	2151
46	104	2118
47	105	2092
48	106	2067
49	107	2036
50	108	2011
51	109	1994
52	110	1968
53	110	1943
54	111	1921
55	113	1917
56	115	1911
57	116	1891
58	117	1871
59	118	1851
60	118	1831
61	119	1811
62	120	1792
63	121	1774
64	122	1758
65	123	1746
66	124	1731
67	125	1716
68	126	1703
69	127	1691
70	128	1684
71	129	1674
72	131	1665
73	131	1650
74	132	1636
75	133	1621
76	134	1607
77	136	1608
78	137	1603
79	138	1590
80	139	1578
81	140	1570
82	141	1566
83	143	1565
84	145	1562
85	146	1555
86	147	1547
87	148	1539
88	149	1528
89	150	1522
90	151	1511
91	152	1505
92	153	1495
93	154	1488
94	155	1480
95	157	1481
96	158	1474
97	159	1467
98	160	1458
99	161	1452
100	162	1444
101	162	1434
102	163	1426
103	164	1416
104	165	1410
105	166	1403
106	168	1402
107	168	1395
108	169	1389
109	171	1386
110	172	1382
111	173	1377
112	174	1371
113	175	1365
114	176	1358
115	177	1350
116	178	1343
117	178	1335
118	179	1329
119	181	1330
120	182	1325
121	183	1320
122	183	1309
123	185	1308
124	186	1305
125	187	1301
126	188	1294
127	189	1288
128	189	1282
129	190	1276
130	191	1270
131	192	1265
132	193	1261
133	194	1259
134	195	1254
135	197	1253
136	198	1248
137	199	1244
138	200	1240
139	202	1241
140	204	1243
141	205	1239
142	206	1236
143	206	1228
144	207	1224
145	208	1219
146	210	1218
147	211	1220
148	213	1219
149	214	1215
150	215	1209
151	215	1205
152	216	1200
153	217	1197
154	218	1192
155	219	1188
156	220	1186
157	222	1183
158	223	1181
159	224	1179
160	225	1175
161	226	1171
162	227	1167
163	228	1163
164	228	1158
165	229	1154
166	230	1149
167	231	1146
168	232	1144
169	233	1140
170	234	1138
171	235	1135
172	237	1133
173	238	1131
174	239	1128
175	240	1124
176	241	1121
177	241	1117
178	242	1112
179	243	1108
180	244	1104
181	244	1101
182	246	1098
183	246	1094
184	247	1090
185	248	1086
186	248	1082
187	249	1079
188	251	1078
189	252	1078
190	254	1076
191	255	1073
192	255	1069
193	256	1065
194	257	1061
195	257	1057
196	258	1054
197	259	1051
198	260	1047
199	261	1044
200	262	1041
201	262	1038
202	263	1035
203	265	1036
204	266	1034
205	267	1031
206	268	1028
207	269	1025
208	270	1021
209	270	1018
210	271	1015
211	272	1011
212	273	1008
213	274	1006
214	275	1004
215	275	1001
216	277	1000
217	279	1002
218	280	1000
219	281	999
220	282	996
221	283	993
222	284	990
223	285	988
224	286	985
225	287	983
226	288	982
227	289	980
228	290	978
229	291	976
230	293	975
231	294	974
232	295	972
233	296	969
234	296	966
235	297	963
236	298	960
237	299	958
238	300	955
239	300	952
240	301	951
241	303	949
242	303	946
243	304	944
244	305	941
245	306	939
246	307	936
247	308	935
248	309	934
249	310	932
250	311	929
251	312	927
252	313	925
253	314	923
254	314	920
255	316	918
256	317	917
257	318	915
258	319	913
259	320	912
260	321	911
261	322	909
262	323	907
263	324	905
264	325	902
265	326	900
266	327	897
267	327	895
268	328	892
269	329	890
270	330	887
271	331	886
272	332	884
273	332	881
274	333	880
275	334	878
276	336	878
277	337	876
278	338	875
279	339	873
280	340	870
281	341	868
282	341	865
283	342	863
284	343	861
285	344	859
286	345	857
287	345	855
288	346	853
289	347	850
290	348	848
291	348	845
292	349	843
293	350	842
294	352	841
295	353	840
296	354	839
297	355	837
298	356	835
299	357	833
300	358	831
301	358	829
302	359	827
303	360	825
304	361	823
305	362	821
306	363	820
307	365	820
308	367	821
309	370	823
310	371	822
311	372	821
312	373	820
313	375	819
314	387	843
315	390	844
316	396	854
317	399	857
318	408	872
319	409	870
320	410	868
321	412	868
322	415	870
323	417	870
324	419	870
325	421	871
326	423	870
327	424	869
328	425	868
329	427	867
330	428	865
331	429	864
332	430	863
333	432	861
334	433	859
335	434	857
336	435	855
337	437	856
338	438	855
339	440	854
340	441	853
341	443	852
342	444	852
343	446	851
344	447	849
345	449	848
346	450	848
347	453	849
348	456	850
349	457	850
350	464	858
351	469	864
352	470	863
353	472	861
354	473	860
355	474	858
356	476	857
357	477	855
358	478	854
359	479	853
360	482	853
361	484	854
362	486	852
363	487	851
364	488	849
365	489	848
366	491	847
367	492	845
368	494	846
369	496	846
370	499	846
371	500	845
372	502	844
373	503	842
374	505	841
375	506	839
376	507	839
377	509	837
378	510	836
379	511	834
380	512	833
381	513	831
382	514	829
383	515	827
384	517	827
385	519	826
386	521	826
387	522	824
388	523	822
389	524	821
390	526	819
391	530	822
392	532	822
393	533	821
394	535	820
395	537	820
396	539	819
397	541	818
398	542	817
399	543	815
400	545	815
401	546	813
402	548	811
403	549	810
404	551	809
405	551	807
406	553	806
407	554	804
408	555	803
409	557	801
410	558	800
411	560	799
412	562	799
413	564	798
414	566	797
415	567	796
416	568	795
417	569	792
418	570	791
419	572	790
420	573	789
421	574	787
422	575	785
423	576	783
424	577	781
425	579	780
426	580	778
427	582	778
428	584	778
429	585	776
430	587	775
431	588	774
432	589	772
433	590	770
434	592	768
435	593	767
436	594	765
437	595	763
438	596	762
439	598	762
440	600	761
441	602	760
442	603	758
443	604	756
444	605	754
445	606	753
446	608	752
447	609	751
448	610	749
449	612	748
450	614	748
451	615	745
452	616	744
453	617	742
454	617	740
455	619	738
456	619	736
457	622	736
458	624	735
459	626	735
460	628	735
461	629	733
462	630	731
463	631	729
464	633	728
465	634	727
466	635	725
467	637	724
468	638	722
469	640	721
470	641	720
471	642	718
472	643	717
473	644	715
474	645	713
475	646	712
476	649	711
477	650	710
478	652	709
479	652	707
480	654	705
481	655	704
482	656	702
483	657	701
484	659	699
485	660	698
486	662	697
487	663	696
488	665	695
