date,station,pollutant,value
2020-02-03,0,HCOH,0.012
2020-02-03,0,NO,0.24
2020-02-03,0,NO2,0.05
2020-02-03,0,SO2,0.009
2020-02-03,1,NH3,0.02
2020-02-03,1,NO2,0.13
2020-02-03,1,SO2,0.042
2020-02-03,2,NO,0.13
2020-02-03,2,NO2,0.10
2020-02-03,2,SO2,0.001
2020-02-03,3,HCOH,0.011
2020-02-03,3,NO2,0.11
2020-02-03,3,SO2,0
2020-02-03,4,NO2,0.11
2020-02-03,4,SO2,0.004
2020-02-03,5,NH3,0.01
2020-02-03,5,NO2,0.11
2020-02-03,5,SO2,0.023
2020-02-03,6,NO2,0.12
2020-02-03,6,SO2,0.012
2020-02-04,0,HCOH,0.007
2020-02-04,0,NO,0.08
2020-02-04,0,NO2,0.05
2020-02-04,0,SO2,0
2020-02-04,1,NH3,0
2020-02-04,1,NO2,0.03
2020-02-04,1,SO2,0.010
2020-02-04,2,NO,0.04
2020-02-04,2,NO2,0.10
2020-02-04,2,SO2,0
2020-02-04,3,HCOH,0.007
2020-02-04,3,NO2,0.07
2020-02-04,3,SO2,0
2020-02-04,4,NO2,0.04
2020-02-04,4,SO2,0
2020-02-04,5,NH3,0
2020-02-04,5,NO2,0.07
2020-02-04,5,SO2,0.006
2020-02-04,6,NO2,0.11
2020-02-04,6,SO2,0.019
2020-02-05,0,HCOH,0.009
2020-02-05,0,NO,0.04
2020-02-05,0,NO2,0.04
2020-02-05,0,SO2,0
2020-02-05,1,NH3,0
2020-02-05,1,NO2,0.09
2020-02-05,1,SO2,0.003
2020-02-05,2,NO,0.07
2020-02-05,2,NO2,0.06
2020-02-05,2,SO2,0
2020-02-05,3,HCOH,0.004
2020-02-05,3,NO2,0.10
2020-02-05,3,SO2,0
2020-02-05,4,NO2,0.07
2020-02-05,4,SO2,0
2020-02-05,5,NH3,0.08
2020-02-05,5,NO2,0.09
2020-02-05,5,SO2,0
2020-02-05,6,NO2,0.10
2020-02-05,6,SO2,0.014
2020-02-06,0,HCOH,0.004
2020-02-06,0,NO,0.05
2020-02-06,0,NO2,0.02
2020-02-06,0,SO2,0
2020-02-06,1,NH3,0.03
2020-02-06,1,NO2,0.03
2020-02-06,1,SO2,0.014
2020-02-06,2,NO,0.02
2020-02-06,2,NO2,0.06
2020-02-06,2,SO2,0.009
2020-02-06,3,HCOH,0.007
2020-02-06,3,NO2,0.03
2020-02-06,3,SO2,0.004
2020-02-06,4,NO2,0.04
2020-02-06,4,SO2,0
2020-02-06,5,NH3,0.03
2020-02-06,5,NO2,0.03
2020-02-06,5,SO2,0
2020-02-06,6,NO2,0.07
2020-02-06,6,SO2,0.013
2020-02-07,0,NO,0.08
2020-02-07,0,NO2,0.02
2020-02-07,0,SO2,0.004
2020-02-07,1,NH3,0.01
2020-02-07,1,NO2,0.03
2020-02-07,1,SO2,0.015
2020-02-07,2,NO,0.10
2020-02-07,2,NO2,0.08
2020-02-07,2,SO2,0.003
2020-02-07,3,HCOH,0.010
2020-02-07,3,NO2,0.05
2020-02-07,3,SO2,0.006
2020-02-07,4,NO2,0.04
2020-02-07,4,SO2,0.013
2020-02-07,5,NH3,0.01
2020-02-07,5,NO2,0.03
