iter	RMSE
0	22.49467008
1	21.90944447
2	21.38901375
3	20.85713866
4	20.28087591
5	19.75002776
6	19.281981
7	18.83865496
8	18.39839248
9	18.01284326
10	17.56213619
11	17.18830734
12	16.78413721
13	16.37107596
14	16.01972732
15	15.64736095
16	15.27470379
17	14.96477984
18	14.60041505
19	14.26210365
20	13.98536787
21	13.71642786
22	13.39973386
23	13.09973493
24	12.81358832
25	12.51300072
26	12.25838937
27	11.99878483
28	11.77863095
29	11.54929417
30	11.3165779
31	11.11622946
32	10.90499707
33	10.70731561
34	10.51083486
35	10.31594925
36	10.14492654
37	9.953408469
38	9.766852777
39	9.595798469
40	9.446399013
41	9.280464326
42	9.110871247
43	8.973660533
44	8.833196014
45	8.690296339
46	8.55080497
47	8.41385842
48	8.289874903
49	8.183732985
50	8.079556619
51	7.954421556
52	7.849594418
53	7.735024328
54	7.621183236
55	7.511612713
56	7.419122395
57	7.309284721
58	7.212919335
59	7.134017512
60	7.035493848
61	6.946484106
62	6.879260851
63	6.79774961
64	6.713786388
65	6.659818083
66	6.607129058
67	6.523317768
68	6.456428742
69	6.393938152
70	6.336519115
71	6.256616845
72	6.209228714
73	6.160316459
74	6.109875322
75	6.054375298
76	6.001969052
77	5.946204229
78	5.891626617
79	5.832719696
80	5.768101005
81	5.710020771
82	5.682556995
83	5.64796024
84	5.614882956
85	5.586591608
86	5.547839599
87	5.507433363
88	5.467706906
89	5.426923206
90	5.393114994
91	5.356979611
92	5.317407771
93	5.268950507
94	5.238718866
95	5.198223632
96	5.158526339
97	5.123138768
98	5.09588936
99	5.070053367
100	5.045354746
101	5.017988074
102	4.989553213
103	4.949500256
104	4.92503601
105	4.901409121
106	4.871626759
107	4.839965615
108	4.813945613
109	4.784673139
110	4.75139199
111	4.721428566
112	4.699816482
113	4.673504528
114	4.648822388
115	4.629727985
116	4.599365297
117	4.5730331
118	4.553598015
119	4.538305782
120	4.522113891
121	4.510094345
122	4.489667175
123	4.464296092
124	4.444503676
125	4.418570485
126	4.397161114
127	4.379829022
128	4.359389595
129	4.343835124
130	4.329999806
131	4.307184635
132	4.286707877
133	4.271959378
134	4.251433709
135	4.230762663
136	4.214983504
137	4.196106929
138	4.184407381
139	4.166041598
140	4.151268714
141	4.133920898
142	4.120931983
143	4.103215168
144	4.087365318
145	4.069187942
146	4.053725147
147	4.04468992
148	4.036448516
149	4.028690043
150	4.015984677
151	4.000968735
152	3.993425547
153	3.975693473
154	3.967492565
155	3.953384316
156	3.94319591
157	3.933970963
158	3.918601491
159	3.909523385
160	3.900728882
161	3.887625273
162	3.880265725
163	3.874611589
164	3.866344744
165	3.86065135
166	3.853763493
167	3.848820676
168	3.84470097
169	3.832632961
170	3.827193914
171	3.815230502
172	3.808503906
173	3.799083932
174	3.793461765
175	3.789039133
176	3.775582188
177	3.765652405
178	3.754405
179	3.748462667
180	3.736329393
181	3.72129973
182	3.7148652
183	3.706315535
184	3.701116853
185	3.691102601
186	3.67821286
187	3.66392456
188	3.653233833
189	3.646904003
190	3.633581238
191	3.619530383
192	3.608159145
193	3.600260207
194	3.59096
195	3.579033335
196	3.574161953
197	3.561938067
198	3.551176212
199	3.54352517
200	3.533824804
201	3.524454843
202	3.514767304
203	3.503714891
204	3.500757822
205	3.489754481
206	3.482210935
207	3.474134764
208	3.463504582
209	3.458637335
210	3.44803952
211	3.43624825
212	3.421797656
213	3.412558695
214	3.406198691
215	3.39879082
216	3.3923855
217	3.386847846
218	3.373270374
219	3.364776875
220	3.357509741
221	3.352004833
222	3.347854054
223	3.342326913
224	3.335512167
225	3.329828037
226	3.326602838
227	3.32379277
228	3.320932739
229	3.314496538
230	3.301048328
231	3.294223511
232	3.285280345
233	3.278683146
234	3.272886864
235	3.266372236
236	3.264203191
237	3.255694026
238	3.247535672
239	3.233814391
240	3.227974901
241	3.225999583
242	3.22206778
243	3.219958576
244	3.217510041
245	3.215430431
246	3.206189685
247	3.204110302
248	3.201860258
249	3.199034998
250	3.197610741
251	3.194160965
252	3.189779281
253	3.187829744
254	3.18182498
255	3.17881195
256	3.174110963
257	3.169532349
258	3.168245732
259	3.16161419
260	3.159505442
261	3.158262973
262	3.149038919
263	3.147064529
264	3.139888221
265	3.136421045
266	3.121291153
267	3.11544494
268	3.105914237
269	3.104092814
270	3.102348841
271	3.101297871
272	3.100195839
273	3.098500823
274	3.092329372
275	3.088669471
276	3.087261719
277	3.085892877
278	3.08018377
279	3.079309461
280	3.063398966
281	3.062214364
282	3.059659583
283	3.052082077
284	3.049373667
285	3.047765497
286	3.033968087
287	3.024918139
288	3.023228447
289	3.015911507
290	3.009763513
291	2.997261225
292	2.996134935
293	2.994885497
294	2.993966722
295	2.988084109
296	2.976561713
297	2.970017345
298	2.959501553
299	2.952757029
300	2.947457564
301	2.946035282
302	2.933870836
303	2.930634371
304	2.929293391
305	2.923764173
306	2.92291889
307	2.911115077
308	2.903545577
309	2.886568294
310	2.87577863
311	2.874956377
312	2.860720423
313	2.852967229
314	2.848156001
315	2.845810755
316	2.840506716
317	2.839579254
318	2.829072268
319	2.819654766
320	2.811336917
321	2.808620767
322	2.80198112
323	2.792578273
324	2.786407192
325	2.782577831
326	2.777164159
327	2.776259224
328	2.764893572
329	2.760425426
330	2.755635262
331	2.743076068
332	2.736267511
333	2.730033348
334	2.728751877
335	2.724600361
336	2.718894357
337	2.717444951
338	2.716639435
339	2.715105046
340	2.71047416
341	2.709775278
342	2.699786908
343	2.699195573
344	2.697778733
345	2.694687357
346	2.692682341
347	2.691037648
348	2.684663598
349	2.679655686
350	2.668014026
351	2.661840536
352	2.656342609
353	2.652886601
354	2.649558534
355	2.643827077
356	2.642423231
357	2.631449789
358	2.62828909
359	2.625201046
360	2.624506308
361	2.612095497
362	2.604267172
363	2.601439964
364	2.59987486
365	2.599066792
366	2.597405809
367	2.596665969
368	2.591323058
369	2.586155565
370	2.580210457
371	2.579444518
372	2.576632188
373	2.568016877
374	2.560272565
375	2.554216245
376	2.547735492
377	2.546928889
378	2.540866402
379	2.533936488
380	2.533346256
381	2.531608373
382	2.523080593
383	2.518701387
384	2.513393664
385	2.512779424
386	2.512092176
387	2.505316706
388	2.4971104
389	2.493004882
390	2.489179924
391	2.483469853
392	2.476543461
393	2.475674728
394	2.475105825
395	2.466421887
396	2.465486791
397	2.460104026
398	2.454869502
399	2.446356445
400	2.444589355
401	2.442034404
402	2.440405784
403	2.439869957
404	2.432650592
405	2.432082595
406	2.431286434
407	2.422242666
408	2.412808623
409	2.407685985
410	2.402941281
411	2.402519356
412	2.399137597
413	2.394398181
414	2.393928772
415	2.389946482
416	2.389462144
417	2.387347825
418	2.386931635
419	2.382514109
420	2.37656375
421	2.36938457
422	2.368227774
423	2.367664402
424	2.359993356
425	2.355034674
426	2.347741135
427	2.347166909
428	2.345658136
429	2.341033683
430	2.336390853
431	2.330223562
432	2.327388827
433	2.326846272
434	2.323229287
435	2.322837253
436	2.316439954
437	2.311972033
438	2.310610755
439	2.30704146
440	2.306091329
441	2.300025424
442	2.292744239
443	2.279360363
444	2.276719291
445	2.272482697
446	2.272097552
447	2.266397002
448	2.262835292
449	2.255125081
450	2.250105757
451	2.243507223
452	2.237499796
453	2.232050479
454	2.229803165
455	2.225157274
456	2.221191514
457	2.219785065
458	2.215206971
459	2.213503277
460	2.213093843
461	2.204968941
462	2.200892029
463	2.193046427
464	2.190559002
465	2.185203152
466	2.177337014
467	2.17577935
468	2.168827688
469	2.165436629
470	2.160386064
471	2.154867799
472	2.153927202
473	2.151970019
474	2.148836287
475	2.14759216
476	2.14278828
477	2.137482863
478	2.129804648
479	2.123426887
480	2.12309285
481	2.122453862
482	2.117116456
483	2.116078928
484	2.113903063
485	2.107236019
486	2.101881393
487	2.097467233
488	2.093013477
489	2.090165587
490	2.089744362
491	2.084684526
492	2.080296824
493	2.079902365
494	2.076582599
495	2.074682975
496	2.070347728
497	2.067410214
498	2.061778963
499	2.057838201
500	2.055423986
501	2.055039398
502	2.054669741
503	2.053041363
504	2.052268391
505	2.050764051
506	2.046880812
507	2.046520059
508	2.044881151
509	2.040424297
510	2.035981589
511	2.03488702
512	2.034126953
513	2.029867333
514	2.02828219
515	2.027236207
516	2.022667604
517	2.020247341
518	2.014836427
519	2.013395708
520	2.003220566
521	1.994228488
522	1.985674342
523	1.975010137
524	1.97223983
525	1.969459976
526	1.965619391
527	1.963677021
528	1.963134901
529	1.962131482
530	1.95713219
531	1.952705819
532	1.949403846
533	1.946628544
534	1.943277272
535	1.939356143
536	1.936498215
537	1.931611823
538	1.930945987
539	1.93048039
540	1.927159278
541	1.926501065
542	1.920170458
543	1.91959984
544	1.916435415
545	1.912873317
546	1.912097693
547	1.905123683
548	1.90436824
549	1.897477526
550	1.895576171
551	1.891629171
552	1.888495404
553	1.885436241
554	1.884048079
555	1.882125631
556	1.876571565
557	1.869887188
558	1.86949288
559	1.869092547
560	1.867182416
561	1.86670651
562	1.860190779
563	1.854623815
564	1.850786134
565	1.846734788
566	1.840343081
567	1.839971895
568	1.839349799
569	1.834356355
570	1.831736244
571	1.827160141
572	1.823192194
573	1.820130585
574	1.819800943
575	1.81684107
576	1.816346
577	1.81584267
578	1.812783715
579	1.811451246
580	1.809424582
581	1.806478868
582	1.806251421
583	1.803965632
584	1.802196613
585	1.79770029
586	1.793930087
587	1.789228417
588	1.783389603
589	1.782609804
590	1.777516183
591	1.776938848
592	1.774736332
593	1.77121474
594	1.770745189
595	1.766202668
596	1.759916494
597	1.754478855
598	1.751705381
599	1.747557061
600	1.747219296
601	1.745718254
602	1.743725432
603	1.743397991
604	1.73911822
605	1.738791668
606	1.738330146
607	1.735814745
608	1.732239615
609	1.727948632
610	1.726611752
611	1.723865592
612	1.719616272
613	1.716404926
614	1.715996242
615	1.715434968
616	1.715037132
617	1.714762795
618	1.71208746
619	1.709962347
620	1.708155388
621	1.707144138
622	1.703571281
623	1.70329845
624	1.701825729
625	1.698719413
626	1.695484217
627	1.695240281
628	1.691402323
629	1.689609387
630	1.689305302
631	1.687438422
632	1.684948694
633	1.680427518
634	1.676509465
635	1.673152159
636	1.67034722
637	1.666100965
638	1.664459082
639	1.662405207
640	1.661488657
641	1.657805802
642	1.655060424
643	1.653224812
644	1.650073237
645	1.64549045
646	1.643360574
647	1.639961157
648	1.63612296
649	1.632242211
650	1.631928314
651	1.630918167
652	1.628084902
653	1.623576369
654	1.621181403
655	1.619635295
656	1.615957312
657	1.614364521
658	1.611729776
659	1.610396718
660	1.609610317
661	1.608157046
662	1.604875683
663	1.603185232
664	1.6016946
665	1.601155218
666	1.593936752
667	1.588153813
668	1.584037065
669	1.578505901
670	1.577062069
671	1.576802247
672	1.572780253
673	1.569115886
674	1.565967796
675	1.563531449
676	1.563271586
677	1.558452126
678	1.557232578
679	1.556401023
680	1.554157957
681	1.550604518
682	1.546728696
683	1.542450401
684	1.539280106
685	1.535413076
686	1.534965939
687	1.534706106
688	1.532723585
689	1.530963552
690	1.526455145
691	1.524272937
692	1.519626323
693	1.519375708
694	1.513224103
695	1.510433399
696	1.509608415
697	1.506573971
698	1.504938319
699	1.502486175
700	1.501963209
701	1.498399174
702	1.49706649
703	1.494287965
704	1.492834372
705	1.488912881
706	1.485007189
707	1.48134653
708	1.481030395
709	1.476998479
710	1.474650788
711	1.473354722
712	1.471424137
713	1.468909472
714	1.46859644
715	1.465856483
716	1.463419011
717	1.458786007
718	1.456441028
719	1.453227957
720	1.451671272
721	1.450847954
722	1.448876387
723	1.446359515
724	1.445123789
725	1.444215557
726	1.441986258
727	1.441686775
728	1.439550247
729	1.436530481
730	1.436324398
731	1.434093473
732	1.432940083
733	1.429483049
734	1.428240502
735	1.425711712
736	1.424391575
737	1.422563603
738	1.419848589
739	1.418262066
740	1.418113291
741	1.414567084
742	1.41168505
743	1.409819488
744	1.406916783
745	1.40333993
746	1.402197332
747	1.399519654
748	1.394244805
749	1.394093315
750	1.39212699
751	1.390310045
752	1.385898964
753	1.383532791
754	1.381698923
755	1.380805625
756	1.379654868
757	1.377443276
758	1.377173015
759	1.373364391
760	1.370928685
761	1.368328183
762	1.366802276
763	1.364700942
764	1.363407998
765	1.361290269
766	1.360098767
767	1.357565403
768	1.355034527
769	1.354082448
770	1.352432157
771	1.348315796
772	1.346665861
773	1.343317009
774	1.34073715
775	1.33877009
776	1.335352607
777	1.332579279
778	1.328638608
779	1.327766411
780	1.324981373
781	1.322217008
782	1.320338877
783	1.31925807
784	1.316334424
785	1.3139014
786	1.311441415
787	1.308512168
788	1.306954109
789	1.306773555
790	1.30359353
791	1.301334553
792	1.300111666
793	1.299937158
794	1.298127888
795	1.29509026
796	1.292077178
797	1.291953291
798	1.288606785
799	1.286178956
800	1.285069681
801	1.282060676
802	1.280420254
803	1.27701874
804	1.275813491
805	1.273593402
806	1.271409508
807	1.268993596
808	1.268564177
809	1.268432955
810	1.268337312
811	1.265818658
812	1.264662332
813	1.263894093
814	1.261549747
815	1.260440289
816	1.257526562
817	1.256721141
818	1.254995569
819	1.252862948
820	1.251569734
821	1.250818653
822	1.250703117
823	1.247174925
824	1.244429426
825	1.242630096
826	1.240813718
827	1.240663732
828	1.237836533
829	1.237742648
830	1.236580487
831	1.235097492
832	1.232240383
833	1.229134399
834	1.22773194
835	1.224888252
836	1.223349988
