iter	Passed	Remaining
0	1	1123
1	2	1099
2	3	1106
3	4	1081
4	5	1036
5	6	1010
6	7	993
7	7	987
8	9	1000
9	9	983
10	10	966
11	11	957
12	12	945
13	13	932
14	14	930
15	15	929
16	16	926
17	16	924
18	17	919
19	18	914
20	19	908
21	20	913
22	21	914
23	22	906
24	23	906
25	24	900
26	24	894
27	25	892
28	26	895
29	27	890
30	28	888
31	29	901
32	30	903
33	31	900
34	32	898
35	33	895
36	34	890
37	35	887
38	35	884
39	37	890
40	38	904
41	39	908
42	40	907
43	41	904
44	42	895
45	43	894
46	43	891
47	44	887
48	45	881
49	46	876
50	46	871
51	47	866
52	48	861
53	48	855
54	49	849
55	50	844
56	50	842
57	51	837
58	52	832
59	52	827
60	53	822
61	54	817
62	54	813
63	55	809
64	55	805
65	56	801
66	57	796
67	57	792
68	58	788
69	59	792
70	60	790
71	61	796
72	62	794
73	63	791
74	63	788
75	64	785
76	65	782
77	65	778
78	66	775
79	67	772
80	68	772
81	68	769
82	69	766
83	69	762
84	70	759
85	71	756
86	71	753
87	72	751
88	73	748
89	73	745
90	74	743
91	75	741
92	75	738
93	76	735
94	76	732
95	77	729
96	78	727
97	78	724
98	79	722
99	79	719
100	80	719
101	81	717
102	82	714
103	82	711
104	83	709
105	83	707
106	84	704
107	85	702
108	85	700
109	86	698
110	86	695
111	87	693
112	88	691
113	88	689
114	89	687
115	89	685
116	90	683
117	91	681
118	91	678
119	92	676
120	92	674
121	93	672
122	94	670
123	94	668
124	95	666
125	96	665
126	96	664
127	97	662
128	97	661
129	98	659
130	99	657
131	99	655
132	100	654
133	100	652
134	101	650
135	102	649
136	102	647
137	103	646
138	104	644
139	104	642
140	105	641
141	105	639
142	106	638
143	107	636
144	107	635
145	108	633
146	108	632
147	109	630
148	110	629
149	110	627
150	111	626
151	111	624
152	112	623
153	113	621
154	113	620
155	114	618
156	114	617
157	115	615
158	116	614
159	116	613
160	117	612
161	118	611
162	118	610
163	119	608
164	120	607
165	120	605
166	121	604
167	121	603
168	122	602
169	123	600
170	123	599
171	124	598
172	124	596
173	125	595
174	126	594
175	126	593
176	127	591
