iter	Passed	Remaining
0	54	54763
1	62	31179
2	70	23501
3	78	19637
4	86	17237
5	94	15636
6	102	14575
7	110	13679
8	117	12967
9	125	12416
10	132	11922
11	140	11538
12	147	11216
13	154	10912
14	162	10676
15	170	10472
16	177	10283
17	185	10095
18	192	9950
19	201	9886
20	210	9798
21	219	9775
22	228	9727
23	237	9661
24	245	9558
25	252	9451
26	259	9368
27	267	9284
28	274	9198
29	282	9141
30	290	9066
31	297	8991
32	304	8917
33	311	8847
34	319	8805
35	326	8744
36	334	8706
37	342	8659
38	349	8607
39	356	8562
40	365	8549
41	373	8518
42	380	8477
43	388	8432
44	395	8390
45	403	8364
46	412	8361
47	421	8355
48	429	8340
49	437	8313
50	446	8299
51	454	8280
52	462	8260
53	469	8221
54	478	8224
55	486	8199
56	493	8166
57	501	8139
58	508	8112
59	515	8082
60	523	8058
61	530	8026
62	537	7999
63	545	7978
64	553	7961
65	560	7935
66	568	7914
67	575	7892
68	582	7864
69	589	7837
70	597	7815
71	604	7796
72	614	7803
73	623	7801
74	631	7786
75	638	7766
76	646	7746
77	654	7731
78	661	7706
79	668	7684
80	675	7660
81	683	7647
82	690	7633
83	698	7617
84	705	7598
85	713	7579
86	719	7554
87	727	7539
88	735	7525
89	743	7522
90	751	7502
91	758	7482
92	766	7471
93	773	7457
94	781	7449
95	789	7438
96	797	7424
97	806	7420
98	814	7410
99	822	7402
100	831	7402
101	839	7392
102	847	7382
103	855	7371
104	863	7359
105	871	7348
106	879	7339
107	886	7320
108	893	7303
109	901	7291
110	908	7274
111	916	7262
112	922	7244
113	931	7239
114	939	7229
115	947	7220
116	954	7205
117	962	7191
118	969	7177
119	977	7168
120	984	7153
121	993	7148
122	1000	7131
123	1007	7117
124	1014	7101
125	1022	7093
126	1032	7094
127	1042	7100
128	1050	7092
129	1059	7089
130	1067	7082
131	1075	7071
132	1083	7063
133	1092	7057
134	1099	7046
135	1106	7032
136	1114	7021
137	1122	7011
138	1129	6998
139	1138	6993
140	1147	6991
141	1154	6978
