iter	RMSE
0	3.842555292
1	3.788370189
2	3.736653653
3	3.684252299
4	3.632872174
5	3.576700431
6	3.530894149
7	3.484233831
8	3.440050739
9	3.393483603
10	3.355288876
11	3.315213388
12	3.275382016
13	3.238339818
14	3.201412482
15	3.162234847
16	3.132055675
17	3.093467566
18	3.062897604
19	3.030854008
20	3.002213508
21	2.973286527
22	2.947233169
23	2.919645973
24	2.894308552
25	2.866848787
26	2.843733098
27	2.820930008
28	2.799747841
29	2.777316924
30	2.754367066
31	2.737114576
32	2.716660633	2.693161371
34	2.672535915
35	2.653347192
36	2.634166019
37	2.615079227
38	2.59666209
39	2.580666833
40	2.563315939
41	2.544813703
42	2.526861597
43	2.513340075
44	2.49804811
45	2.482168464
46	2.468075841
47	2.453351465
48	2.440062178
49	2.428016054
50	2.416976316
51	2.405909533
52	2.394056145
53	2.381363818
54	2.369655252
55	2.358305266
56	2.348952235
57	2.339642086
58	2.32646889
59	2.31433735
60	2.30340509
61	2.294864552
62	2.286128477
63	2.272816133
64	2.263029696
65	2.25533226
66	2.242048666
67	2.235203529
68	2.225015941
69	2.217763868
70	2.20650526
71	2.199863825
72	2.19291533
73	2.182039776
74	2.168307497
75	2.160281895
76	2.149560731
77	2.142542339
78	2.134499605
79	2.128188308
80	2.12065532
81	2.113282294
82	2.105676089
83	2.097817743
84	2.087469038
85	2.080291074
86	2.073853649
87	2.067494041
88	2.058341596
89	2.04806643
90	2.038376528
91	2.03295849
92	2.025151904
93	2.021586507
94	2.015741221
95	2.010109138
96	2.003831427
97	1.995655782
98	1.989030074
99	1.982700609
100	1.97345112
101	1.968155057
102	1.961728068
103	1.955761215
104	1.949714431
105	1.94361393
106	1.940095075
107	1.936782794
108	1.930936485
109	1.924809432
110	1.918148067
111	1.912042924
112	1.908114236
113	1.897581567
114	1.89118407
115	1.884286981
116	1.875472296
117	1.869054333
118	1.863342903
119	1.858913029
120	1.855069138
121	1.849703719
122	1.843660381
123	1.840217406
124	1.835437003
125	1.828078382
126	1.820576271
127	1.815881852
128	1.811441872
129	1.80632523
130	1.801799746
131	1.797827467
132	1.793241437
133	1.790140495
134	1.784071921
135	1.780482773
136	1.778910368
137	1.775228666
138	1.771663365
139	1.767132903
140	1.758411861
141	1.750642166
142	1.743280885
143	1.74157862
144	1.738502707
145	1.73183529
146	1.725190403
147	1.72171308
148	1.714957017
149	1.712861622
150	1.709715181
151	1.703386244
152	1.698478717
153	1.694381921
154	1.691610474
155	1.689509817
156	1.686692303
157	1.680536743
158	1.675407032
159	1.672351303
160	1.666446907
161	1.659988116
162	1.656921206
163	1.654199622
164	1.651459255
165	1.648355735
166	1.641511774
167	1.638788327
168	1.634134285
169	1.628329104
170	1.623022571
171	1.620150534
172	1.617977252
173	1.616302999
174	1.610553522
175	1.603683949
176	1.599933336
177	1.594436415
178	1.58931235
179	1.584942641
180	1.580089207
181	1.57837248
182	1.575346263
183	1.572622119
184	1.567942086
185	1.566524608
186	1.562360951
187	1.56103132
188	1.558199078
189	1.551694716
190	1.547915177
191	1.539615707
192	1.537807752
193	1.534117104
194	1.527872674
195	1.524117775
196	1.515690545
197	1.512223436
198	1.507907353
199	1.502968692
200	1.500583012
201	1.496259294
202	1.491368269
203	1.486254937
204	1.481665667
205	1.479306661
206	1.476084258
207	1.472577373
208	1.465799621
209	1.458729644
210	1.455248258
211	1.452502834
212	1.450179032
213	1.446848413
214	1.442505959
215	1.439765074
216	1.435161357
217	1.432020424
218	1.429167583
219	1.426451112
220	1.420307438
221	1.418760591
222	1.41367907
223	1.409872913
224	1.406406445
225	1.402870281
226	1.400065835
227	1.396513684
228	1.393028769
229	1.389071622
230	1.386230364
231	1.38148497
232	1.37899444
233	1.377149155
234	1.375371909
235	1.369221389
236	1.367584213
237	1.360747226
238	1.355780269
239	1.35046052
240	1.345197786
241	1.34128281
242	1.339339301
243	1.33821279
244	1.335363425
245	1.333963556
246	1.329833891
247	1.323491422
248	1.32106328
249	1.31784766
250	1.31593618
251	1.314258611
252	1.31026051
253	1.307599619
254	1.306239804
255	1.301515488
256	1.299391105
257	1.296886737
258	1.29272479
259	1.288491929
260	1.260	1.274762203
261	1.273598205
262	1.269903892
263	1.267093845
264	1.263394419
265	1.259002549
266	1.254339568
267	1.253664538
268	1.249983382
269	1.247106561
270	1.244520571
271	1.243906544
272	1.243029625
273	1.241842334
274	1.236205918
275	1.235496382
276	1.233449347
277	1.230994662
278	1.227010005
279	1.222238273
280	1.221361512
281	1.21789638
282	1.216585867
283	1.215833716
284	1.215275983
285	1.209940814
286	1.209268411
287	1.2089518287	1.250482902
288	1.247633083
289	1.243972455
290	1.242356987
291	1.238713726
292	1.23814166
293	1.236097402
294	1.232402195
295	1.230546092
296	1.229887981
297	1.229372188
298	1.228761414
299	1.228357417
300	1.227275847
301	1.224398653
302	1.221173512
303	1.220509424
304	1.219930888
305	1.219341954
306	1.218731185
307	1.218305374
308	1.215564582
309	1.211109452
310	1.210728293
311	1.207782397
312	1.206768194
313	1.205461488
314	1.2009670023315	1.2005110531316	1.198573063
317	1.19724491
318	1.194583607
319	1.194075521
320	1.192645047
321	1.188431746
322	1.18599781
323	1.183193879
324	1.182572909
325	1.182051418
326	1.178161669
327	1.174746206
328	1.1721972
329	1.168317191
330	1.164878601
331	1.164513829
332	1.160252055
333	1.156043632
334	1.153129028
335	1.150994443
336	1.149444135
337	1.14902357
338	1.144951973
339	1.14470388
340	1.141942157
341	1.137862612
342	1.134664105
343	1.130965468
344	1.127699385
345	1.126997675
346	1.12658775
347	1.123958808
348	1.120603546
349	1.120153131
350	1.119831576
351	1.114811771
352	1.112548924
353	1.110338251
354	1.107167177
355	1.104149935
356	1.102079759
357	1.098797917
358	1.096555851
359	1.09330112
360	1.089616973
361	1.087318454
362	1.084587566
363	1.082009938
364	1.081718636
365	1.078410866
366	1.074436837
367	1.074031344
368	1.073160262
369	1.070831038
370	1.067973745
371	1.062762625
372	1.059226257
373	1.05608459
374	1.054163732
375	1.051472831
376	1.048983598
377	1.045144687
378	1.042950214
379	1.040245601
380	1.0393396
381	1.03666552
382	1.036346397
383	1.035975764
384	1.033622591
385	1.029970381
386	1.026746952
387	1.024641316
388	1.023077136
389	1.020841205
390	1.019758024
391	1.019114589
392	1.0164863
393	1.01441119
394	1.011584175
395	1.011248149
396	1.010918793
397	1.008366405
398	1.00622234
399	1.005897705
400	1.002814302
401	1.000620629
402	0.9989431383
403	0.9967293984
404	0.9952396026
405	0.991643302
406	0.98927185
407	0.9870553406
408	0.9851596034
409	0.982565997
410	0.9794534024
411	0.9774708307
412	0.9771300867
413	0.9743139136
414	0.9724780935
415	0.9719472125
416	0.9701640472
417	0.9689300519
418	0.9662932903
419	0.9641428944
420	0.9614811475
421	0.9604905326
422	0.9579125614
423	0.9555715332
424	0.9537632673
425	0.953542
426	0.9530350445
427	0.9508382982
428	0.9506284717
429	0.9484975499
430	0.9457836003
431	0.9434636561
432	0.9411579414
433	0.9386275772
434	0.9374749506
435	0.9371159528
436	0.9346086591
437	0.9322757179
438	0.9294509214
439	0.9288217029
440	0.9285855544
441	0.9268544733
442	0.9240078698
443	0.9215817399
444	0.9197555383
445	0.9192384061
446	0.9166305885
447	0.9140452816
448	0.9109552334
449	0.909768761
450	0.9070492363
451	0.9050575875
452	0.9035223124
453	0.9013233205
454	0.8989611898
455	0.8966439754
456	0.8948543779
457	0.8946327065
458	0.8944278765
459	0.8942148221
460	0.8921761814
461	0.8918474376
462	0.8894239492
463	0.8876992491
464	0.8870703505
465	0.8865178846
466	0.884949648
467	0.8828999436
468	0.8808018599
469	0.8799213748
470	0.8767613106
471	0.8751255977
472	0.8739111211
473	0.8719723452
474	0.8707003925
475	0.8692420588
476	0.8690009345
477	0.867281743
478	0.8649831547
479	0.8636252649
480	0.8611012122
481	0.8590786923
482	0.8566733369
483	0.8553936721
484	0.8531679098
485	0.8521309228
486	0.8500245248
487	0.8478129452
488	0.8458263236
489	0.8450904268
490	0.8439835882
