iter	Passed	Remaining
0	58	58218
1	61	30899
2	75	25004
3	79	19894
4	93	18610
5	99	16554
6	111	15789
7	132	16478
8	139	15357
9	149	14843
10	159	14323
11	167	13819
12	172	13117
13	182	12865
14	188	12389
15	202	12463
16	212	12305
17	230	12585
18	245	12654
19	253	12421
20	266	12425
21	272	12097
22	276	11730
23	287	11701
24	296	11581
25	306	11469
26	314	11320
27	329	11441
28	337	11294
29	345	11155
30	363	11363
31	375	11373
32	394	11556
33	402	11426
34	410	11318
35	418	11213
36	437	11383
37	446	11297
38	453	11175
39	466	11202
40	473	11069
41	480	10957
42	493	10986
43	501	10896
44	515	10934
45	531	11023
46	542	11007
47	548	10870
48	556	10800
49	564	10716
50	578	10759
51	591	10776
52	599	10720
53	607	10651
54	613	10540
55	623	10510
56	631	10453
57	638	10375
58	654	10431
59	662	10377
60	671	10338
61	681	10303
62	686	10204
63	701	10256
64	719	10344
65	723	10240
66	731	10181
67	740	10155
68	745	10054
69	756	10048
70	764	9999
71	774	9988
72	783	9945
73	800	10018
74	807	9958
75	823	10007
76	831	9961
77	834	9868
78	846	9864
79	854	9826
80	865	9820
81	886	9925
82	900	9947
83	912	9948
84	921	9924
85	929	9875
86	935	9816
87	948	9826
88	968	9909
89	975	9859
90	986	9858
91	995	9828
92	1004	9800
93	1013	9768
94	1021	9727
95	1032	9725
96	1037	9660
97	1043	9605
98	1058	9636
99	1068	9618
100	1079	9606
101	1088	9580
102	1095	9544
103	1108	9551
104	1116	9514
105	1125	9490
106	1133	9461
107	1150	9504
108	1170	9567
109	1177	9525
110	1184	9489
111	1202	9530
112	1211	9512
113	1234	9594
114	1258	9681
115	1289	9827
116	1307	9870
117	1319	9864
118	1325	9813
119	1334	9788
120	1339	9733
121	1346	9689
122	1359	9694
123	1387	9798
124	1391	9737
125	1401	9724
126	1419	9754
127	1427	9725
128	1435	9691
129	1445	9672
130	1463	9710
131	1494	9825
132	1508	9833
133	1516	9803
134	1523	9760
135	1532	9733
136	1539	9700
137	1563	9764
138	1570	9729
139	1577	9691
140	1586	9665
141	1622	9804
142	1634	9796
143	1644	9777
144	1660	9792
145	1665	9740
146	1670	9693
147	1679	9669
148	1695	9681
149	1704	9658
150	1708	9608
151	1718	9589
152	1725	9554
153	1736	9540
154	1745	9516
155	1763	9541
156	1770	9506
157	1775	9461
158	1783	9434
159	1792	9409
160	1804	9403
161	1815	9392
162	1841	9457
163	1853	9448
164	1861	9421
165	1879	9440
166	1886	9409
167	1893	9375
168	1900	9346
169	1908	9316
170	1914	9279
171	1927	9277
172	1936	9255
173	1944	9231
174	1951	9199
175	1956	9161
176	1985	9230
177	2004	9255
178	2009	9218
179	2016	9187
180	2026	9171
181	2043	9184
182	2050	9153
183	2058	9129
184	2069	9116
185	2082	9114
186	2106	9156
187	2120	9159
188	2131	9146
189	2141	9128
190	2151	9114
191	2160	9092
192	2169	9072
193	2186	9082
194	2199	9080
195	2214	9083
196	2222	9059
197	2231	9040
198	2240	9020
199	2252	9008
200	2267	9011
201	2273	8979
202	2279	8949
203	2288	8929
204	2296	8906
205	2306	8889
206	2313	8864
207	2331	8875
208	2336	8844
209	2343	8816
210	2347	8778
211	2359	8770
212	2387	8820
213	2396	8803
214	2407	8789
215	2417	8775
216	2422	8741
217	2433	8730
218	2445	8721
219	2459	8720
220	2466	8695
221	2478	8686
